FID,Volcano_Number,Volcano_Name,Eruption_Number,Activity_Type,ExplosivityIndexMax,ExplosivityIndexModifier,ActivityArea,ActivityUnit,StartEvidenceMethod,StartDateYearModifier,StartDateYear,StartDateYearUncertainty,StartDateDayModifier,StartDateMonth,StartDateDay,StartDateDayUncertainty,EndDateYearModifier,EndDateYear,EndDateYearUncertainty,EndDateDayModifier,EndDateMonth,EndDateDay,EndDateDayUncertainty,GeoLocation
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58ce,210010,West Eifel Volcanic Field,10001,Confirmed Eruption,,,Ulmener Maar,,Isotopic: 14C (calibrated),,-8740,150,,0,0,,,,,,,,,POINT (6.85 50.17)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58cd,210010,West Eifel Volcanic Field,10002,Confirmed Eruption,,,"Strohn, Pulvermaar",,Isotopic: 14C (uncalibrated),,-8300,300,,0,0,,,,,,,,,POINT (6.85 50.17)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58cc,210020,Chaine des Puys,10003,Confirmed Eruption,,,Western Puy de Dôme,,Isotopic: 14C (uncalibrated),,-7840,200,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58cb,210020,Chaine des Puys,10004,Confirmed Eruption,,,Puy Mey,,Radiogenic: Thermoluminescence,?,-7740,,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58ca,210020,Chaine des Puys,10005,Confirmed Eruption,,,,Taphanel tephra,Isotopic: 14C (uncalibrated),,-7020,100,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58c9,210020,Chaine des Puys,10006,Confirmed Eruption,,,"Puys Chopine, Vasset, Cratère Kilian",,Isotopic: 14C (uncalibrated),?,-6550,,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58c8,210020,Chaine des Puys,10007,Confirmed Eruption,,,Puy de Pariou,,Radiogenic: Thermoluminescence,?,-6250,,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58c7,210020,Chaine des Puys,10009,Confirmed Eruption,,,"Puy de Lassolas, Puy de la Vache",,Isotopic: 14C (uncalibrated),,-6020,150,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58c6,210020,Chaine des Puys,10010,Confirmed Eruption,,,"Puy de Come, Puy Montchier",,Radiogenic: Thermoluminescence,?,-5760,,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58c5,210020,Chaine des Puys,10011,Confirmed Eruption,,,"Montcineyre, Estivadoux, Pavin",,Isotopic: 14C (uncalibrated),,-4040,150,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58c4,210040,Calatrava Volcanic Field,10012,Confirmed Eruption,,,Columba,,Isotopic: 14C (calibrated),,-3600,500,,0,0,,,,,,,,,POINT (-4.02 38.87)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58c3,211003,Vulsini,10014,Confirmed Eruption,,,,,Observations: Reported,,-104,,,0,0,,,,,,,,,POINT (11.93 42.6)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58c2,211004,Colli Albani,10015,Uncertain Eruption,,,Ariccia crater,,,,-600,,,0,0,,,,,,,,,POINT (12.7 41.73)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58c1,211010,Campi Flegrei,10018,Confirmed Eruption,4,,,Agnano Pomici Principali tephra,Isotopic: 14C (calibrated),,-8480,100,,0,0,,,,,,,,,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58c0,211010,Campi Flegrei,10019,Confirmed Eruption,3,,"Soccavo, Minapoli, Pisani & other vents",,Correlation: Tephrochronology,,-7980,500,,0,0,,,,,,,,,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58bf,211010,Campi Flegrei,10020,Confirmed Eruption,,,NE part of NYT caldera,Pisani 3 tephra,Isotopic: 14C (uncalibrated),,-7590,50,,0,0,,,,,,,,,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58be,211010,Campi Flegrei,10021,Confirmed Eruption,4,,"Fondi di Baia, Sartania",,Isotopic: 14C (uncalibrated),,-6650,100,,0,0,,,,,,,,,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58bd,211010,Campi Flegrei,10022,Confirmed Eruption,3,?,Eastern part of NYT caldera,,Correlation: Tephrochronology,?,-6490,,,0,0,,,,,,,,,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58bc,211010,Campi Flegrei,10023,Confirmed Eruption,,,N part of NYT caldera (San Martino),,Isotopic: 14C (uncalibrated),,-6300,50,,0,0,,,,,,,,,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58bb,211010,Campi Flegrei,10040,Confirmed Eruption,1,,Solfatara,,Observations: Reported,,1198,,,0,0,,,,,,,,,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58ba,211010,Campi Flegrei,10041,Confirmed Eruption,3,,Monte Nuovo,,Observations: Reported,,1538,,,9,29,,,1538,,,10,6,,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58b9,211010,Campi Flegrei,10033,Confirmed Eruption,5,,Agnano Monte Spina,,Isotopic: 14C (uncalibrated),,-2150,500,,0,0,,,,,,,,,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58b8,211010,Campi Flegrei,10034,Confirmed Eruption,2,,Monte Olibano-Accademia,,Correlation: Tephrochronology,,-2080,75,,0,0,,,,,,,,,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58b7,211010,Campi Flegrei,10035,Confirmed Eruption,3,,Solfatara,,Correlation: Tephrochronology,?,-2040,,,0,0,,,,,,,,,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58b6,211010,Campi Flegrei,10036,Confirmed Eruption,4,,Averno,,Correlation: Tephrochronology,,-2000,150,,0,0,,,,,,,,,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58b5,211010,Campi Flegrei,10037,Confirmed Eruption,4,,Astroni,,Isotopic: 14C (uncalibrated),,-1870,50,,0,0,,,,,,,,,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Eruptions.fid-2f742092_181cee06153_-58b4,211010,Campi Flegrei,10038,Confirmed Eruption,4,,Fossa Lupara (Monte Senga),,Correlation: Tephrochronology,?,-1650,,,0,0,,,,,,,,,POINT (14.139 40.827)
