FID,Volcano_Number,Volcano_Name,Eruption_Number,Activity_Type,ExplosivityIndexMax,ExplosivityIndexModifier,ActivityArea,ActivityUnit,StartEvidenceMethod,StartDateYearModifier,StartDateYear,StartDateYearUncertainty,StartDateDayModifier,StartDateMonth,StartDateDay,StartDateDayUncertainty,EndDateYearModifier,EndDateYear,EndDateYearUncertainty,EndDateDayModifier,EndDateMonth,EndDateDay,EndDateDayUncertainty,GeoLocation
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29d9,210010,West Eifel Volcanic Field,10001,Confirmed Eruption,,,Ulmener Maar,,Radiocarbon (corrected),,-8740,150,,0,0,,,,,,,,,POINT (6.85 50.17)
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29da,210010,West Eifel Volcanic Field,10002,Confirmed Eruption,,,"Strohn, Pulvermaar",,Radiocarbon (uncorrected),,-8300,300,,0,0,,,,,,,,,POINT (6.85 50.17)
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29db,210020,Chaine des Puys,10003,Confirmed Eruption,,,Western Puy de Dôme,,Radiocarbon (uncorrected),,-7840,200,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29dc,210020,Chaine des Puys,10004,Confirmed Eruption,,,Puy Mey,,Thermoluminescence,?,-7740,,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29dd,210020,Chaine des Puys,10005,Confirmed Eruption,,,,Taphanel tephra,Radiocarbon (uncorrected),,-7020,100,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29de,210020,Chaine des Puys,10006,Confirmed Eruption,,,"Puys Chopine, Vasset, Cratère Kilian",,Radiocarbon (uncorrected),?,-6550,,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29df,210020,Chaine des Puys,10007,Confirmed Eruption,,,Puy de Pariou,,Thermoluminescence,?,-6250,,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29e0,210020,Chaine des Puys,10009,Confirmed Eruption,,,"Puy de Lassolas, Puy de la Vache",,Radiocarbon (uncorrected),,-6020,150,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29e1,210020,Chaine des Puys,10010,Confirmed Eruption,,,"Puy de Come, Puy Montchier",,Thermoluminescence,?,-5760,,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29e2,210020,Chaine des Puys,10011,Confirmed Eruption,,,"Montcineyre, Estivadoux, Pavin",,Radiocarbon (uncorrected),,-4040,150,,0,0,,,,,,,,,POINT (2.97 45.775)
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29e3,210040,Calatrava Volcanic Field,10012,Confirmed Eruption,,,Columba,,Radiocarbon (corrected),,-3600,500,,0,0,,,,,,,,,POINT (-4.02 38.87)
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29e4,211003,Vulsini,10014,Confirmed Eruption,,,,,Historical Observations,,-104,,,0,0,,,,,,,,,POINT (11.93 42.6)
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29e5,211004,Colli Albani,10015,Uncertain Eruption,,,Ariccia crater,,,,-600,,,0,0,,,,,,,,,POINT (12.7 41.73)
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29e6,211010,Campi Flegrei,10018,Confirmed Eruption,4,,,Agnano Pomici Principali tephra,Radiocarbon (corrected),,-8480,100,,0,0,,,,,,,,,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29e7,211010,Campi Flegrei,10019,Confirmed Eruption,3,,"Soccavo, Minapoli, Pisani & other vents",,Tephrochronology,,-7980,500,,0,0,,,,,,,,,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Eruptions.fid--71eaee15_1773b265837_29e8,211010,Campi Flegrei,10020,Confirmed Eruption,,,NE part of NYT caldera,Pisani 3 tephra,Radiocarbon (uncorrected),,-7590,50,,0,0,,,,,,,,,POINT (14.139 40.827)
