Date,RR
07-01-2011,
08-01-2011,
09-01-2011,3
10-01-2011,3
11-01-2011,
12-01-2011,5
13-01-2011,2
14-01-2011,20
15-01-2011,
16-01-2011,
17-01-2011,
18-01-2011,
19-01-2011,7
20-01-2011,4
21-01-2011,
22-01-2011,
23-01-2011,1
24-01-2011,19
25-01-2011,4
26-01-2011,4
27-01-2011,5
28-01-2011,18
29-01-2011,4
30-01-2011,19
31-01-2011,11
01-02-2011,11
02-02-2011,11
03-02-2011,
04-02-2011,33
05-02-2011,50
06-02-2011,38
07-02-2011,
08-02-2011,
09-02-2011,42
10-02-2011,1
11-02-2011,
12-02-2011,
13-02-2011,5
14-02-2011,8
15-02-2011,
16-02-2011,
17-02-2011,
18-02-2011,70
19-02-2011,
20-02-2011,8
21-02-2011,13
22-02-2011,91
23-02-2011,
24-02-2011,1
25-02-2011,4
26-02-2011,
27-02-2011,
28-02-2011,
01-03-2011,0
02-03-2011,11
03-03-2011,
04-03-2011,
05-03-2011,
06-03-2011,0
07-03-2011,0
08-03-2011,0
09-03-2011,0
10-03-2011,22
11-03-2011,
12-03-2011,0
13-03-2011,1
14-03-2011,
15-03-2011,
16-03-2011,16
17-03-2011,0
18-03-2011,4
19-03-2011,0
20-03-2011,35
21-03-2011,66
22-03-2011,
23-03-2011,2
24-03-2011,28
25-03-2011,19
26-03-2011,4
27-03-2011,1
28-03-2011,4
29-03-2011,2
30-03-2011,4
31-03-2011,7
01-04-2011,15
02-04-2011,2
03-04-2011,9
04-04-2011,
05-04-2011,0
06-04-2011,0
07-04-2011,9
08-04-2011,
